types_version;n_pollen;occurrences;plant_habitus;pollen_habitus;familly;Pollen_types_accepted;R_labels;E068;E069;E070;E071;E073;E074;W_386;W_385;W_388 ;Lac_Abhe;Awash;Melka_kontoure;Eth_HADAR01;Eth_HADAR02;Eth_HADAR03;Eth_HADAR04;Eth_HADAR05;Eth_HADAR06;Eth_HADAR07;E241;E242;E243;E244;E245;E246;E247;E248;E249;E250;E251;E252;E253;E254;E255;AML81-LS;AML81-LZ;AML81S33 ;AML81S36;AML81-VR;S136_3;S136_4;S136_5;S137_6;S257_4;E047;E048;E049;E050;E051;E052;E053;E054;E055;E003;E004;E005;E006;E007;E008;E009;E010;E011;E012;E013;E014;E015;E016;E017;E018;E019;E020;E021;E022;E023;E024;E025;E026;E268;E269;E270;E271;E272;E273;E274;E275;E276;E277;E278;E279;E280;E281;E282;E283;Omo_CR100_8;DW_16;DW_4;DW_1;DW_10;DW_14;DW_15;DW_18;DW_2;DW_2bis;DW_3;DW_5;DW_6;DW_7;DW_8;NG_1;NG_2;NG_3;NG_5;NG_6;NG_7;NG_8;NG_9;RB_1;RB_10;RB_11;RB_2;RB_4;RB_676;RB_7;DW_13;Awash_350;Awash_352;Awash_547_bis;Awash_574;Awash_575;Awash_582;Awash_A_Sued;Awash_A_Stat;Awash_C_L;Awash_G_604;Awash_G_80;Awash_Gba;Awash_Gomb;Awash_H_742;Awash_H_C74;Awash_H_C80;Awash_H_S4;Awash_H_V1;Awash_Hgf;Awash_K_80;Awash_L_A549;Awash_M_S;Awash_MK_G1;Awash_MK_G2;Awash_T_H;Awash_Tj;BB17-01;BB17-02;BB17-03;BB17-04;BB17-05;BB17-06;BB17-07;BB17-08;BB17-09;BB17-10;BB17-11;BB17-12;BB17-13;BB17-14;BB17-15;BB17-16;BB17-17;BB17-18;BB17-19;BB17-20;BB17-21;BB17-23;BB17-24;BB17-25;BB17-26;BB17-27;BB17-28;BB17-29;BB17-30;BB17-31;BB17-32;BB17-33;BB17-34;BB17-35;BB17-36;BB17-37;BB17-38;BB17-39;BB17-40;BB17-41;DB09-5;DB09-12;DB09-13;DB09-16;DB09-21;DB09-30;DB09-31;DB09-32;DB09-35;DB09-38;DB09-39;DB09-41;DB09-47;DB09-50;DB09-1;DB09-2;DB09-4;DB09-6;DB09-15;DB09-17;DB09-48;DB09-49;E200;E201;E202;E203;E204;E205;E206;E207;E208;E209;E213;E214;E228;E227;E229;E230;E231;E215;E223;E212;E217;E210;E224;E222;E226;E221;E232;E211;E233;E216;E220;E235;E219;E218;E234;E095;E094;E093;E085;Y96-40;Y96-03;Y96-08;Y96-138;Y96-139;Y96-140;RaK-01;RaK-02;RaK-03;RaK-04;Rak-08;RaK-05;RaK-07;RaK-06;FB_K3Sa;M_7a;M_104a;DB11-74;DB11-73;DB11-72;DB11-71;DB11-70;DB11-69;DB11-62;DB11-61;DB11-59B;DB11-59A;DB11-58;DB11-57;DB11-56;DB11-55;DB11-54
old;7;3;S;A;ASPARAGACEAE;Asparagus aethiopicus-type;Asparagus_aethiopicus;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;36;21;L;L;ASPARAGACEAE;Asparagus buchananii-type;Asparagus_buchananii;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;3;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;1;;1;;;1;;2;7;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;1;1;;;;4;;1;3;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;612;149;HS(TL);I;ASTERACEAE;Cichorieae;Cichorieae;1;3;;15;3;6;16;15;2;;49;9;;;;;;1;;;;;;;;;5;;;;;;;;;1;2;1;;1;;;;1;3;12;10;6;12;7;;2;5;1;17;;1;3;1;;;;1;;;1;;1;;;;;;;;;1;1;3;2;;;;;1;;;;2;;;;;4;;1;1;;2;;1;5;;3;1;3;1;2;7;4;4;3;2;4;6;6;;6;5;2;1;3;2;;3;;7;4;1;6;2;4;7;3;3;5;4;2;3;;;;4;8;;2;12;9;5;14;1;1;5;1;;1;;;;1;;2;;;1;;;3;;;;2;;;;;;;;;;3;;;1;;2;1;3;19;2;1;;;1;4;2;5;;1;22;1;2;;;;1;2;;3;5;27;1;;;1;2;;;;1;;;;;;;;1;;1;;1;1;;1;2;;1;1;1;;1;3;2;;6;1;;2;;;1;2;;;;;;;;;;;;1;1;8;2;;;1;3;11;3;2;;1;;;;5;4
old;3951;261;HS(TL);I;ASTERACEAE;Tubuliflorae;Tubuliflorae;6;5;7;24;12;8;79;35;47;1;250;51;2;2;4;;5;1;1;11;7;17;16;28;23;7;25;28;78;43;62;122;14;;5;12;19;10;10;13;12;10;6;11;6;10;4;10;12;22;25;30;3;10;2;11;2;2;3;2;1;1;2;2;;4;2;;1;;3;3;4;1;8;;3;6;8;2;3;8;6;8;10;14;5;;6;1;;8;4;26;4;14;27;14;5;4;8;14;15;9;12;14;15;14;19;24;23;9;22;28;19;17;24;24;16;15;13;29;11;5;8;14;30;9;2;11;13;19;21;10;12;24;20;9;10;5;11;2;11;43;1;17;14;20;21;30;92;43;28;13;15;30;30;188;6;8;4;20;58;42;11;3;2;40;5;;2;45;6;8;;4;5;7;6;4;16;32;20;9;12;16;14;8;18;36;4;3;;11;4;14;10;4;10;3;5;12;3;9;5;6;38;18;5;90;8;25;76;6;4;9;11;4;1;;;3;;1;1;;2;1;1;3;2;4;1;3;4;3;7;5;4;11;3;3;5;8;1;2;7;1;24;19;4;10;19;6;8;8;3;;;;;;;3;;12;4;43;8;3;15;6;6;17;8;27;5;3;2;1;1;8;1
old;31;8;H(ep);N;BALSAMINACEAE;Impatiens;Impatiens;;;;;;;;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;;;;2;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;2;2;ST;A;BARBEYACEAE;Barbeya oleoides;Barbeya_oleoides;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;6;5;HL;NL;BASELLACEAE;Basella alba-type;Basella_alba;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;1;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;1;1;Hep(L);NL;BEGONIACEAE;Begonia;Begonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;1;1;T;A;BIGNONIACEAE;Kigelia-type;Kigelia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;
old;2;2;T;A;BIGNONIACEAE;Markhamia zanzibarica-type;Markhamia_zanzibarica;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;4;3;T;A;BOMBACACEAE;Adansonia;Adansonia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;1;;;
old;79;36;ST(L);AL;BORAGINACEAE;Cordia;Cordia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;5;1;4;3;;4;;1;3;1;1;;;;4;1;1;4;;;;1;;1;;4;1;;;;;2;;1;;1;4;6;4;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;2;;;;;;;;;;;1;;1;;;;;;;5;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;;;;;;;;;;
old;1;1;H;N;BORAGINACEAE;Echium-type;Echium;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
old;34;15;ST;A;BORAGINACEAE;Ehretia cymosa-type;Ehretia_cymosa;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;2;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;1;;;;;;;;;13;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;;1;;;;;;;1;2;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;61;23;H;N;BORAGINACEAE;Heliotropium steudneri-type;Heliotropium_steudneri;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;5;;;1;;2;;;;;;;;1;;;;;3;1;3;;;1;;;;;;1;;;;;;;;2;;;;;;;;;;;;;;;;7;;;;8;;;;;1;;1;2;3;;;;;;;;;;;;3;;;;;;;;;;;;;;;6;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;1;;;;;;;;;;;;;;;
old;1;1;H;N;BORAGINACEAE;Lithospermum-type afromontanum;Lithospermum_afromontanum;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;95;26;H(S);I;BRASSICACEAE;Brassicaceae undiff.;Brassicaceae;;;;2;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;1;;2;;;;;;;;;1;1;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;1;;;;;;1;;;;;;;1;;;;;;;4;1;;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;6;12;4;6;5;25;;;;1;;;;;;;4;;;;;;;;;;;;;;;
old;127;36;ST;A;BURSERACEAE;Commiphora;Commiphora;;;;;;;;;1;;4;;1;2;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;7;;1;;;;1;;;;;;;;1;;;;;;1;;;;;;;;;;;;;;;1;2;;;1;;;;;;;1;;;;;;;;;;;;;;1;;;;;;;;;;1;;;;;;;;;;;;2;;1;;;;;;;;;1;;;;;;;;;;;;2;5;;;;;;;;;;;;;10;;3;;;;;;;;;;;;;;;1;;53;4;2;;2;1;;;2;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;;2;1;1;;;;;;;
old;1;1;T;A;CAESALPINIACEAE;Brachystegia;Brachystegia;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;4;3;STL(H);I;CAESALPINIACEAE;Caesalpiniaceae undiff.;Caesalpiniaceae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;96;36;HST;I;CAESALPINIACEAE;Cassia-type;Cassia;;;;;;;;;;;;;;2;;;;1;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;1;;;1;;;;;1;;;;;;;;;;;;;1;1;;;;;;;;;;1;3;;;;;;3;;;1;;;;;;;;;;;;;;;;2;1;;;;;1;;;;;;;;;;;;;;;;11;;;;2;;;;2;5;;;;;;;;;;;;;;1;;;1;;;;;1;;;;;;;;;;;;;;;;;;;2;2;;;;;1;;;1;2;;1;1;;;;;;;;;;;;;;;;2;23;1;1;;11;;;;;;;;;;;;;;;;;;;;;;;;2;;
old;11;2;T;A;CAESALPINIACEAE;Delonix elata-type;Delonix_elata;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;2;2;ST;A;CAESALPINIACEAE;Parkinsonia-type;Parkinsonia;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;9;3;T;A;CAESALPINIACEAE;Piliostigma;Piliostigma;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;53;20;SL;AL;CAESALPINIACEAE;Pterolobium stellatum;Pterolobium_stellatum;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;1;;1;2;;;3;;;1;;1;;;1;;;;;;;;;;;;;;;;;;;1;;;;;6;;;;1;;;;;1;;;1;;;1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;8;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;1;1;H(S);I;CAMPANULACEAE;Campanulaceae undiff.;Campanulaceae;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;1;1;H(ep);N;CAMPANULACEAE;Canarina;Canarina;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
new;2;1;A;A;CANELLACEAE;Warburgia-type;Warburgia;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;895;43;ST;A;CAPPARIDACEAE;Boscia-type;Boscia;;;;;;;;;;;;;8;40;1;;;11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;15;3;2;1;;1;5;;5;;2;1;2;20;401;126;2;7;2;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;2;1;1;;;;;;;;;3;;;;;;;;7;;2;;1;;;;;;;5;;;;;;;;18;4;;;;;;;;;;;;;;;;;108;;;;1;9;53;;;;1;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;2;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;5;;;;;;;1;;
old;53;10;HST(L);I;CAPPARIDACEAE;Capparidaceae undiff.;Capparidaceae;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;1;;1;;24;;;;;;;2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;3;;3;8;;;;;;;;;;;;;;;;;;;;;;;;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;297;57;S(TL);AL;CAPPARIDACEAE;Capparis;Capparis;;;;;;;;;;;;;29;44;16;9;13;13;;;;;;;;;;;;;;;;;;;1;6;3;;;;;;;;;;;;;;;;;;;;10;;4;6;;;1;2;1;;;3;;11;2;2;3;;6;;;;;;;;;;;;;;;;2;2;;;;1;;;;;;1;;1;;1;1;3;3;;1;1;;;;;;1;;;;;1;2;;;;1;1;8;;;1;;;3;;;;;4;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;19;;;;;;;;;;;;2;;;;;1;;6;3;;;;2;;;;;;;;;;;;;1;;;;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;13;18;;;;;;;;;;;;;;;;;;;;;;1;;;;1;1;;;;;;
old;50;24;H;N;CAPPARIDACEAE;Cleome-type;Cleome;;;;;;;;;;;;;19;1;1;4;;1;;;;;;;;;;;;;;;;;1;;;;1;;;;1;;;;;;;;;;;;;;;;;;1;1;1;;;;;;;2;;;1;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;1;;;;;;;;;;2;;1;;;;;;;;1;;1;;;;;;1;;;1;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;477;19;H;N;CAPPARIDACEAE;Cleome-type brachycarpa;Cleome_brachycarpa;;;;;;;;;;;;1;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;1;3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58;161;58;37;17;7;;13;28;16;6;17;1;47;;;;;;;;;;;;;;;;;;
old;10;1;H;N;CAPPARIDACEAE;Cleome-type parvipetala;Cleome_parvipetala;;;;;;;;;;;;;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;47;13;ST;A;CAPPARIDACEAE;Crateva-type adansonii;Crateva_adansonii;;;;;;;;;;;;;9;2;;;2;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;6;10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;1;;;;;;;;;;2;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
old;155;47;ST;A;CAPPARIDACEAE;Maerua-type crassifolia;Maerua_crassifolia;;;;;;;;;;;;3;2;7;;1;;;1;;;;;;;;;;;;;;;;;;;32;;;;;;1;;;;1;;;;;;1;1;;;;2;1;1;;;;;;;;;;;;;;;;2;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;10;;;2;;;1;4;;1;2;;;;;;2;;4;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;5;3;;;1;27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;1;7;;;2;;;1;;;1;1;;;;;;;;1;;;;;1;;4;;;;;;;;;;;;;;;5;1;;1;1;2;;;1;;1;
