order;used_for_T_value;plant_habit;pollen_habit;familly;Vincens_et_al_pollen_types;R_labels;KMl1;KMk;KMj;Kmi;KMh;KMg;KMf;Kme;KMd2b;KMd2a;KMc;KMb;KMa
415;yes;HS;I;ZYGOPHYLLACEAE;Fagonia;Fagonia;;;;;;;;;;;;;
49.1;no;H;N;APIACEAE;Ferula;Ferula;;;;;;;;;;;;;
270;yes;ST(ep);A;MORACEAE;Ficus;Ficus;0;0;0;0;0;0;0;0;0;0;0;0;0
208;no;ST;A;FLACOURTIACEAE;Flacourtiaceae undiff.;Flacourtiaceae;;;;;;;;;;;;;
209;yes;L;L;FLAGELLARIACEAE;Flagellaria indica-type;Flagellaria_indica;;;;;;;;;;;;;
178;yes;ST;A;EUPHORBIACEAE;Flueggea virosa-type;Flueggea_virosa;;;;;;;;;;;;;
338;yes;S(T);A;RUBIACEAE;Galiniera saxifraga;Galiniera_saxifraga;;;;;;;;;;;;;
132;yes;T;A;CLUSIACEAE;Garcinia gnetoides-type;Garcinia_gnetoides;;;;;;;;;;;;;
133;yes;T;A;CLUSIACEAE;Garcinia granulata-type;Garcinia_granulata;0;0;0;0;0;0;0;0;0;0;0;0;0
134;yes;ST;A;CLUSIACEAE;Garcinia volkensii-type;Garcinia_volkensii;;;;;;;;;;;;;
339;yes;T;A;RUBIACEAE;Gardenia-type ternifolia;Gardenia_ternifolia;;;;;;;;;;;;;
211;yes;H(Sep);I;GENTIANACEAE;Gentianaceae undiff.;Gentianaceae;;;;;;;;;;;;;
215;yes;H;N;GERANIACEAE;Geranium;Geranium;;;;;;;;;;;;;
370;yes;ST;A;SAPINDACEAE;Glenniea-type africana;Glenniea_africana;;;;;;;;;;;;;
137;yes;H;N;COLCHICACEAE;Gloriosa;Gloriosa;;;;;;;;;;;;;
393;yes;HST;I;THYMELAEACEAE;Gnidia-type;Gnidia;;;;;;;;;;;;;
397;yes;STL;AL;TILIACEAE;Grewia-type;Grewia;;;;;;;;;;;;;
216;yes;H;N;HALORRHAGACEAE;Gunnera perpensa;Gunnera_perpensa;;;;;;;;;;;;;
330;yes;T;A;ROSACEAE;Hagenia abyssinica;Hagenia_abyssinica;27;8;5;0;0;0;1;0;1;1;0;0;0
340;yes;T;A;RUBIACEAE;Hallea-type rubrostipulata;Hallea_rubrostipulata;0;0;0;0;0;0;0;0;2;0;0;0;0
219;yes;ST;A;HYPERICACEAE;Harungana madagascariensis-type;Harungana_madagascariensis;;;;;;;;;;;;;
131;no;H;N;CISTACEAE;Helianthemum;Helianthemum;;;;;;;;;;;;;
87;yes;H;N;BORAGINACEAE;Heliotropium steudneri-type;Heliotropium_steudneri;;;;;;;;;;;;;
388;yes;H;N;STERCULIACEAE;Hermannia-type;Hermannia;;;;;;;;;;;;;
251;yes;H;N;MELASTOMATACEAE;Heterotis-type canescens;Heterotis_canescens;;;;;;;;;;;;;
248;yes;HS(T);I;MALVACEAE;Hibiscus/Pavonia;Hibiscus/Pavonia;0;0;0;0;0;0;0;0;0;0;0;0;0
148;yes;S;A;CONVOLVULACEAE;Hildebrandtia-type obcordata;Hildebrandtia_obcordata;;;;;;;;;;;;;
57;yes;ST(L);AL;APOCYNACEAE;Hunteria-type;Hunteria;;;;;;;;;;;;;
50;yes;Ha;Nq;APIACEAE;Hydrocotyle mannii-type;Hydrocotyle_mannii;0;0;0;0;0;3;0;0;0;0;0;0;0
7.1;no;H;N;ACANTHACEAE;Hygrophila_type;Hygrophila;0;1;0;0;0;0;0;0;0;0;0;0;0
218;yes;ST;A;HYMENOCARDIACEAE;Hymenocardia;Hymenocardia;;;;;;;;;;;;;
341;yes;ST;A;RUBIACEAE;Hymenodictyon-type floribundum;Hymenodictyon_floribundum;;;;;;;;;;;;;
96.2;no;N;A;CAESALPINIACEAE;Hymenostegia-type pellegrinii;Hymenostegia_pellegrinii;;;;;;;;;;;;;
220;yes;HST;I;HYPERICACEAE;Hypericum;Hypericum;0;0;1;0;0;0;0;0;0;0;0;0;0
300;yes;PA;PA;PALMAE;Hyphaene-type;Hyphaene;0;0;0;0;0;0;0;0;0;0;0;0;0
7.2;yes;H(SL);I;ACANTHACEAE;Hypoestes-type;Hypoestes;0;0;1;0;0;0;0;0;0;0;2;0;0
226;yes;H;N;LAMIACEAE;Hyptis pectinata-type;Hyptis_pectinata;;;;;;;;;;;;;
223;yes;STL;AL;ICACINACEAE;Icacinaceae undiff.;Icacinaceae;;;;;;;;;;;;;
61;yes;T(S);A;AQUIFOLIACEAE;Ilex mitis;Ilex_mitis;27;9;0;0;0;0;0;0;0;0;0;0;0
75;yes;H(ep);N;BALSAMINACEAE;Impatiens;Impatiens;2;0;0;0;0;0;0;0;0;0;0;0;0
197;yes;S;A;FABACEAE;Indigofera schimperi-type;Indigofera_schimperi;0;0;1;0;0;0;0;0;0;0;0;0;0
149;yes;HS(L);I;CONVOLVULACEAE;Ipomoea-type;Ipomoea;1;0;0;0;0;0;0;0;0;0;0;0;0
8;yes;HS;I;ACANTHACEAE;Isoglossa;Isoglossa;0;1;0;0;0;0;0;0;0;0;0;0;0
288;yes;SL;AL;OLEACEAE;Jasminum abyssinicum-type;Jasminum_abyssinicum;0;0;0;0;0;0;0;0;0;0;0;0;0
155;yes;T;A;CUPRESSACEAE;Juniperus-type procera;Juniperus_procera;3;1;5;3;1;4;3;0;5;0;2;0;2
11;yes;H(S);I;ACANTHACEAE;Justicia-type;Justicia;;;;;;;;;;;;;
