"";"A.E-e";"Fa-w";"Fa-upper";"Fa-sc 2";"Fa-sc 1";"Fb/Wd-upper";"Fb/Wd-low/middle";"Wcd";"Bd-wgc";"Bd-rtf";"Bd-wb 3";"Bd-wb 2";"Bd-wb 1";"Bd-spring 1";"Bd-spring 2";"S-xs";"S-xds";"D";"Wcd/Fb/Wd-river";"We/Bd/S-river"
"Eucalyptus";-1.86567065166663;0.396583828153445;-0.83161938651544;-1.24981640770374;-0.296036001130309;1.7337902667142;1.80398028659125;-0.83161938651544;-1.44890192684906;-1.78884620358575;-1.99529126438812;-1.78884620358575;-1.70923335531028;-1.70923335531028;-1.5398630843038;-1.24981640770374;-1.01646109962926;-1.3526318420033;9.1852882432264;0.133280932317154
"Eugenia/Syzygium";-1.77341407748254;1.56403665065471;0.72048914012101;3.78819414602318;1.60782164251588;1.82079743939388;-0.704215578427386;-1.38409755865352;-0.295589972757781;-1.65092757569109;-2.29866999816993;-2.29392042096025;-2.19182917462288;-0.851371662870046;-1.97463782380328;-1.6026975233175;-1.30345519300508;-1.73454252142683;5.61635408962366;0.294102366511821
"Nyctaginaceae";-1.70930581202812;-1.63892014374675;-1.4901019161415;-1.14506729671055;-1.31803626637283;-1.90797421521802;-1.14506729671055;-1.4901019161415;-0.393189995346677;-0.10094797986846;3.92946551178895;4.51296851176642;4.04493194988496;2.44181431404685;-1.41080469769772;-1.14506729671055;-0.931269870030231;-1.23926560510836;-1.71273080827752;1.57575564678937
"Ximenia";-0.810723574194919;-0.777339658830199;-0.706755188491137;-0.54310530330521;-0.93472843997194;-0.904951977784444;-0.54310530330521;-0.706755188491137;1.06903809899301;-0.777339658830199;1.99850500083063;2.01892383612843;-0.742744049552605;-0.742744049552605;5.74968629562087;-0.54310530330521;-0.441701205400525;-0.587783551474725;-0.631779782458593;-0.281379952837597
"Chionanthus_mildbraedii";-0.697881853104621;7.35439400097195;-0.608384455978475;-0.467512414299748;0.557453947447641;2.02322297298003;-0.467512414299748;1.1424108117818;-0.541983313492655;-0.669144525783463;-0.947732337737398;-0.669144525783463;-0.639364155901033;-0.639364155901033;-0.576008687193177;-0.467512414299748;-0.38022239090503;-0.505972056548306;-1.2588484353915;-1.05694115499615
"Jasminum_abyssinicum";-1.0349082161487;0.134917009244006;2.78729245359034;-0.693287032121457;1.67713422054134;2.78158326111609;0.881812453136941;-0.902190061639121;-0.803721979091153;-0.992292842181725;-0.572458744945491;-0.992292842181725;-0.948130711680455;-0.948130711680455;-0.85417914264047;-0.693287032121457;-0.563842252898256;-0.75031989459826;2.15119362607065;-1.5673671416231
"Olea";-0.656657317123388;-0.62961753069527;-0.572446615233177;-0.439896017255987;-0.757096856644916;5.19956963396836;-0.439896017255987;-0.572446615233177;-0.509967850547302;-0.62961753069527;-0.891748899159901;-0.62961753069527;-0.601596315208804;-0.601596315208804;-0.541983313492655;-0.439896017255987;-0.357762297459406;-0.476083812344961;2.8521201984758;-0.994506649097557
"Olea_capensis";-1.74288263258234;3.17725162659548;2.13895622477708;2.63141142066799;3.52889187625906;-0.24425096462409;0.985190266192122;0.853597379725423;-2.67477839935133;-2.71328646422936;-1.19493418434825;-1.53517884606439;-2.54136419330483;-1.31335425661463;-2.16661196690963;-2.30725204275961;-1.87646116185507;-2.49705681676695;3.5859752486844;1.16394134193488
"Olea_europaea";2.9292344288403;-2.77412665318005;-0.542661328720915;-0.247985707055922;1.28437488943818;3.63527407283593;2.28734185060791;-2.52222871095637;-0.777351878812981;-2.77412665318005;-2.58833379937527;-0.959735736074917;-2.02024878088452;-2.65066376190752;-0.999692690648219;-1.93820407883181;-0.545342601107209;-2.09764933246902;5.56017834127563;1.75937777973653
"Oleaceae";-0.460670668093032;-0.441701205400525;-0.401593582848192;-0.308604178886659;-0.531132914637442;-0.514213284857363;-0.308604178886659;-0.401593582848192;-0.357762297459406;-0.441701205400525;-0.62559656374015;-0.441701205400525;-0.422043232021842;-0.422043232021842;-0.38022239090503;-0.308604178886659;-0.250984177426221;-0.33399132573744;4.83271046399168;-0.697685125126914
